CensusID,Site,TimeStart,TimeEnd,Expr1,SpeciesName
451,CapeFoulwind,19:26,19:58,32,Haustrum scobina
548,JacksonHead,18:58,19:30,32,Haustrum haustorium
461,TaurangaHead,18:39,19:11,32,Haustrum scobina
405,Rakautara,8:23,8:55,32,Haustrum haustorium
774,Rakautara,17:27,17:59,32,Haustrum lacunosus
753,OkahuPoint,19:50,20:22,32,Haustrum scobina
593,TaurangaHead,18:08,18:40,32,Cominella maculosa
713,CapeFoulwind,7:55,8:27,32,Haustrum scobina
775,Rakautara,17:59,18:31,32,Haustrum lacunosus
775,Rakautara,17:59,18:31,32,Dicathais orbita
775,Rakautara,17:59,18:31,32,Haustrum haustorium
774,Rakautara,17:27,17:59,32,Haustrum haustorium
405,Rakautara,8:23,8:55,32,Dicathais orbita
502,Rakautara,9:52,10:24,32,Haustrum haustorium
